time_iso8601,forks_cumulative
2019-07-25 00:00:00+00:00,1
2019-10-03 00:00:00+00:00,2
2019-10-05 00:00:00+00:00,3
2019-11-23 00:00:00+00:00,4
2019-12-28 00:00:00+00:00,5
2020-03-26 00:00:00+00:00,6
2020-05-04 00:00:00+00:00,7
2020-06-09 00:00:00+00:00,8
2020-06-13 00:00:00+00:00,9
2020-06-29 00:00:00+00:00,10
2020-08-04 00:00:00+00:00,11
2020-08-06 00:00:00+00:00,12
2020-09-05 00:00:00+00:00,14
2020-11-22 00:00:00+00:00,15
2020-12-02 00:00:00+00:00,16
2021-01-27 00:00:00+00:00,17
2021-03-20 00:00:00+00:00,18
2021-09-08 00:00:00+00:00,19
2021-10-25 00:00:00+00:00,20
2021-11-20 00:00:00+00:00,21
2021-11-27 00:00:00+00:00,22
2022-02-26 00:00:00+00:00,23
2022-03-19 00:00:00+00:00,24
2022-05-05 00:00:00+00:00,25
2022-09-17 00:00:00+00:00,26
2022-10-27 00:00:00+00:00,27
2022-11-01 00:00:00+00:00,28
2022-11-12 00:00:00+00:00,29
2022-12-10 00:00:00+00:00,30
2023-01-02 00:00:00+00:00,31
2023-01-14 00:00:00+00:00,32
2023-01-30 00:00:00+00:00,33
2023-02-01 00:00:00+00:00,34
2023-02-07 00:00:00+00:00,35
2023-02-08 00:00:00+00:00,36
2023-03-10 00:00:00+00:00,37
2023-04-11 00:00:00+00:00,38
2023-05-25 00:00:00+00:00,39
2023-08-12 00:00:00+00:00,40
2023-12-13 00:00:00+00:00,41
2024-01-29 00:00:00+00:00,42
2024-03-22 00:00:00+00:00,43
2024-04-09 00:00:00+00:00,44
2024-04-26 00:00:00+00:00,45
2024-05-13 00:00:00+00:00,47
2024-05-15 00:00:00+00:00,48
2024-06-18 00:00:00+00:00,49
2024-06-21 00:00:00+00:00,50
2024-07-08 00:00:00+00:00,51
2024-07-11 00:00:00+00:00,52
2024-08-17 00:00:00+00:00,54
2024-08-20 00:00:00+00:00,55
2024-09-03 00:00:00+00:00,56
2024-09-09 00:00:00+00:00,57
2024-09-26 00:00:00+00:00,58
2024-09-30 00:00:00+00:00,59
2024-10-10 00:00:00+00:00,60
2024-10-21 00:00:00+00:00,61
2024-10-28 00:00:00+00:00,62
2024-11-06 00:00:00+00:00,63
2024-11-13 00:00:00+00:00,64
2025-01-02 00:00:00+00:00,65
2025-01-05 00:00:00+00:00,66
2025-01-19 00:00:00+00:00,68
2025-02-07 00:00:00+00:00,69
2025-02-09 00:00:00+00:00,73
2025-02-10 00:00:00+00:00,75
2025-02-11 00:00:00+00:00,81
2025-02-12 00:00:00+00:00,82
2025-02-24 00:00:00+00:00,83
2025-02-27 00:00:00+00:00,84
2025-03-09 00:00:00+00:00,85
2025-03-12 00:00:00+00:00,86
2025-03-17 00:00:00+00:00,87
2025-03-18 00:00:00+00:00,88
2025-03-30 00:00:00+00:00,89
2025-04-02 00:00:00+00:00,90
2025-04-24 00:00:00+00:00,91
2025-04-26 00:00:00+00:00,92
2025-05-09 00:00:00+00:00,93
2025-05-10 00:00:00+00:00,94
