time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-11 00:00:00+00:00,48,1,158,21
2024-10-12 00:00:00+00:00,29,2,65,16
2024-10-13 00:00:00+00:00,5,1,45,11
2024-10-14 00:00:00+00:00,35,3,131,23
2024-10-15 00:00:00+00:00,9,7,115,26
2024-10-16 00:00:00+00:00,137,2,243,26
2024-10-17 00:00:00+00:00,72,3,361,26
2024-10-18 00:00:00+00:00,197,2,230,22
2024-10-19 00:00:00+00:00,24,1,62,11
2024-10-20 00:00:00+00:00,38,3,72,11
2024-10-21 00:00:00+00:00,127,2,162,19
2024-10-22 00:00:00+00:00,24,2,150,19
2024-10-23 00:00:00+00:00,89,3,285,28
2024-10-24 00:00:00+00:00,28,1,286,25
