time_iso8601,stargazers_cumulative_snapshot
2025-09-25 23:06:21+00:00,253
2025-09-26 23:06:47+00:00,254
2025-10-01 23:06:16+00:00,255
2025-10-05 23:05:58+00:00,256
2025-10-06 23:06:22+00:00,258
2025-10-08 23:06:26+00:00,259
2025-10-09 23:06:27+00:00,262
2025-10-15 23:06:35+00:00,263
2025-10-16 23:06:36+00:00,264
2025-10-17 23:06:17+00:00,265
2025-10-20 23:06:33+00:00,266
2025-10-21 23:06:40+00:00,267
2025-10-26 23:06:31+00:00,268
2025-10-27 23:06:27+00:00,270
2025-10-30 23:06:46+00:00,271
2025-11-01 23:06:28+00:00,272
2025-11-03 23:06:52+00:00,273
2025-11-07 23:06:30+00:00,275
2025-11-10 23:06:43+00:00,276
2025-11-13 23:07:37+00:00,277
2025-11-15 23:06:35+00:00,278
2025-11-17 23:06:51+00:00,279
2025-11-18 23:06:39+00:00,280
2025-11-19 23:06:57+00:00,282
2025-11-21 23:07:19+00:00,284
2025-11-22 23:06:41+00:00,285
2025-11-23 23:06:37+00:00,286
2025-11-24 23:07:15+00:00,287
2025-11-26 23:06:48+00:00,288
2025-12-03 23:06:08+00:00,289
2025-12-04 23:07:24+00:00,291
2025-12-18 23:08:09+00:00,294
2025-12-22 23:07:20+00:00,295
2025-12-23 23:07:33+00:00,296
2025-12-24 23:07:25+00:00,297
2025-12-29 23:07:39+00:00,298
2026-01-03 23:07:51+00:00,299
2026-01-08 23:07:44+00:00,301
2026-01-09 23:07:49+00:00,302
2026-01-13 23:08:02+00:00,303
2026-01-14 23:07:38+00:00,305
2026-01-23 23:07:59+00:00,306
2026-01-26 23:08:18+00:00,308
2026-01-29 23:10:25+00:00,309
2026-01-31 23:07:46+00:00,310
2026-02-02 23:10:48+00:00,311
2026-02-04 23:10:18+00:00,314
2026-02-16 23:11:22+00:00,315
2026-02-22 23:10:05+00:00,316
2026-02-23 23:34:16+00:00,318
2026-02-24 23:13:09+00:00,322
2026-02-25 23:13:22+00:00,323
2026-02-27 23:09:49+00:00,325
2026-02-28 23:07:59+00:00,326
2026-03-01 04:50:44+00:00,327
2026-03-02 23:10:57+00:00,328
2026-03-03 23:10:12+00:00,330
2026-03-09 23:10:55+00:00,331
2026-03-10 23:10:44+00:00,332
2026-03-11 23:09:46+00:00,333
2026-03-14 23:10:50+00:00,334
2026-03-15 23:11:58+00:00,336
2026-03-17 23:13:52+00:00,337
2026-03-19 23:12:00+00:00,338
2026-03-22 23:10:52+00:00,339
2026-03-25 23:15:19+00:00,340
2026-03-27 23:13:57+00:00,342
2026-03-28 23:12:24+00:00,341
2026-03-31 23:13:38+00:00,342
2026-04-01 23:18:42+00:00,344
2026-04-02 23:14:11+00:00,345
2026-04-03 23:14:51+00:00,346
2026-04-04 23:12:43+00:00,347
2026-04-07 23:18:05+00:00,348
2026-04-09 23:30:14+00:00,350
2026-04-10 23:16:17+00:00,352
2026-04-14 23:21:36+00:00,353
2026-04-16 23:19:58+00:00,354
2026-04-17 23:18:53+00:00,355
2026-04-19 23:16:55+00:00,354
2026-04-28 23:23:48+00:00,355
2026-05-02 23:20:22+00:00,356
2026-05-09 23:37:30+00:00,357
2026-05-11 23:32:05+00:00,358
2026-05-13 23:33:49+00:00,359
2026-05-14 23:24:05+00:00,362
2026-05-15 23:24:15+00:00,363
2026-05-22 03:38:20+00:00,364
2026-05-26 23:30:01+00:00,366
2026-05-27 23:32:35+00:00,367
2026-06-03 00:20:55+00:00,368
2026-06-14 23:32:56+00:00,369
2026-06-16 01:27:18+00:00,370
2026-06-16 23:36:21+00:00,371
2026-06-17 23:38:38+00:00,372
2026-06-19 01:54:06+00:00,376
2026-06-24 23:57:33+00:00,377
2026-06-27 23:27:33+00:00,378
2026-06-30 23:32:56+00:00,379
